listingid,companyid,company,price,url,long,lat,address,type,rooms,size_m2,listings,text,deposit,rent,electricity,heat,water,tv_internet,b-ordning,other
4023,31,bk-aarhus,6897,https://aarhusbolig.dk/afdelinger/?bolignr=4023&selskab=31&afdeling=1&antalrum=2,56.16729917,10.18904686,Afd. 1  Paludan Müllers Vej/Jens Baggesens Vej,Lejlighed,2,70,201.0,"Husdyr: Det er tilladt af have en lille hund (skulderhøjde højst 40 cm) eller en indekat.Udgifter ud over husleje: Vand og varme betales a/c over huslejen, el afregnes direkte med leverandør.YouSee: Grundpakke betales over huslejen. Yderligere bestilles og betales direkte. Fravalg muligt - lukning af tv-signal kan have konsekvenser for internet, spørg YouSee.Særlige vilkår: Der er komfur og emhætte. Eget køleskab medbringes. I ungdomsboligerne er der komfur og lille køleskab m/frostboks.Fælles vaskeri mod betaling.I nogle boliger er der skydeglas parti på altanen - huslejen i disse boliger er ca. 275,- højere end boliger uden skydeglas parti.Yderligere info: Afdelingen er beliggende på Paludan-Müllers Vej og Jens Baggesens Vej. 250 m til daginstitution, 200 m til indkøb, 400 m til skole. Der er dørtelefon. Der hører et tremmerum til hver lejlighed. Der er mulighed for at leje ekstra kælderrum. Der er dartklub hver uge, lokalet kan lejes til private fester. Der er gæstelejlighed.",10600.0,5366.0,,691.0,200.0,205.0,,435.0
3003,31,bk-aarhus,7642,https://aarhusbolig.dk/afdelinger/?bolignr=3003&selskab=31&afdeling=1&antalrum=3,56.16729917,10.18904686,Afd. 1  Paludan Müllers Vej/Jens Baggesens Vej,Lejlighed,3,77,75.0,"Husdyr: Det er tilladt af have en lille hund (skulderhøjde højst 40 cm) eller en indekat.Udgifter ud over husleje: Vand og varme betales a/c over huslejen, el afregnes direkte med leverandør.YouSee: Grundpakke betales over huslejen. Yderligere bestilles og betales direkte. Fravalg muligt - lukning af tv-signal kan have konsekvenser for internet, spørg YouSee.Særlige vilkår: Der er komfur og emhætte. Eget køleskab medbringes. I ungdomsboligerne er der komfur og lille køleskab m/frostboks.Fælles vaskeri mod betaling.I nogle boliger er der skydeglas parti på altanen - huslejen i disse boliger er ca. 275,- højere end boliger uden skydeglas parti.Yderligere info: Afdelingen er beliggende på Paludan-Müllers Vej og Jens Baggesens Vej. 250 m til daginstitution, 200 m til indkøb, 400 m til skole. Der er dørtelefon. Der hører et tremmerum til hver lejlighed. Der er mulighed for at leje ekstra kælderrum. Der er dartklub hver uge, lokalet kan lejes til private fester. Der er gæstelejlighed.",11100.0,5790.0,,795.0,219.0,205.0,,633.0
34,31,bk-aarhus,8304,https://aarhusbolig.dk/afdelinger/?bolignr=34&selskab=31&afdeling=2&antalrum=3,56.17843214,10.19509792,Afd. 2 Haugesundsvej m.fl.,Rækkehus,3,102,2.0,"Husdyr: Det er tilladt at holde husdyr.Udgifter ud over husleje: Vand, varme og el afregnes direkte med leverandør. YouSee: Det er muligt at vælge lille, mellem eller stor pakke, afregnes over huslejen. Fravalg muligt.Særlige vilkår: Medbring selv hårde hvidevarer.Der er ikke vaskeri i afdelingen.Alle boliger vil som følge af en gennemgribende renovering af tag og murværk m.m. få en samlet huslejestigning på ca. 2.125 kr. pr. måned. Den første huslejestigning er effektueret her i 2023, men de sidste vil blive indfaset i de kommende år, og der vil komme en månedlig huslejestigning som følge af denne renovering  på ca. 425 kr. pr. måned i årene 2024, 2025, 2026 og 2027. Vær opmærksom på at stigningen eventuelt berettiger til boligstøtte. Renoveringen omhandler bl.a. udskiftning af tagkonstruktion og tagbelægning, nye facademure på sydgavle inkl. nye vinduer og terrassedøre i sydgavle og renovering af murværk.Derudover vil der for IKKE renoverede boliger, grundet indvendig renovering, komme en huslejestigning på ca. kr. 2.100,- pr. måned. Stigningen træder i kraft 2-4 måneder efter indflytning.Yderligere info: Afdelingen er beliggende på Haugesundsvej, Kristianssundsvej og Stockholmsgade. 50-400 m til daginstitution, 300 m til indkøb, 500 m til skole.",25000.0,6033.0,,,,450.0,,1821.0
14,31,bk-aarhus,7619,https://aarhusbolig.dk/afdelinger/?bolignr=14&selskab=31&afdeling=2&antalrum=4,56.17843214,10.19509792,Afd. 2 Haugesundsvej m.fl.,Rækkehus,4,102,34.0,"Husdyr: Det er tilladt at holde husdyr.Udgifter ud over husleje: Vand, varme og el afregnes direkte med leverandør. YouSee: Det er muligt at vælge lille, mellem eller stor pakke, afregnes over huslejen. Fravalg muligt.Særlige vilkår: Medbring selv hårde hvidevarer.Der er ikke vaskeri i afdelingen.Alle boliger vil som følge af en gennemgribende renovering af tag og murværk m.m. få en samlet huslejestigning på ca. 2.125 kr. pr. måned. Den første huslejestigning er effektueret her i 2023, men de sidste vil blive indfaset i de kommende år, og der vil komme en månedlig huslejestigning som følge af denne renovering  på ca. 425 kr. pr. måned i årene 2024, 2025, 2026 og 2027. Vær opmærksom på at stigningen eventuelt berettiger til boligstøtte. Renoveringen omhandler bl.a. udskiftning af tagkonstruktion og tagbelægning, nye facademure på sydgavle inkl. nye vinduer og terrassedøre i sydgavle og renovering af murværk.Derudover vil der for IKKE renoverede boliger, grundet indvendig renovering, komme en huslejestigning på ca. kr. 2.100,- pr. måned. Stigningen træder i kraft 2-4 måneder efter indflytning.Yderligere info: Afdelingen er beliggende på Haugesundsvej, Kristianssundsvej og Stockholmsgade. 50-400 m til daginstitution, 300 m til indkøb, 500 m til skole.",25000.0,6033.0,,,,,,1586.0
258,31,bk-aarhus,3119,https://aarhusbolig.dk/afdelinger/?bolignr=258&selskab=31&afdeling=3&antalrum=1,56.16789651,10.18484116,Afd. 3 Viggo Stuckenbergs Vej,Lejlighed,1,28,15.0,"Husdyr: Det er tilladt at holde højest 2 neutraliserede indekatte.Udgifter ud over husleje: Vand og varme betales a/c over huslejen. El afregnes direkte med leverandør.Stofa: Alt bestilles og betales direkte til Stofa.Særlige vilkår: Der er komfur og emhætte. Medbring selv køleskab. Fællesvaskeri mod betaling.Yderligere info: Afdelingen er beliggende på Viggo Stuckenbergs Vej og Otto Benzons Vej. 200 m til daginstitution, 250 m til indkøb, 250 m til skole. Der er dørtelefon. Der hører et tremmerum til hvert lejemål. Derudover er der begrænset mulighed for at leje ekstra kælderrum. Tag er udskiftet omkring 2001.Vinduer er udskiftet ca. 2008. Køkken og bad er udskiftet i 2016.",3920.0,1915.0,,241.0,83.0,,,880.0
256,31,bk-aarhus,4117,https://aarhusbolig.dk/afdelinger/?bolignr=256&selskab=31&afdeling=3&antalrum=1,56.16789651,10.18484116,Afd. 3 Viggo Stuckenbergs Vej,Lejlighed,1,41,15.0,"Husdyr: Det er tilladt at holde højest 2 neutraliserede indekatte.Udgifter ud over husleje: Vand og varme betales a/c over huslejen. El afregnes direkte med leverandør.Stofa: Alt bestilles og betales direkte til Stofa.Særlige vilkår: Der er komfur og emhætte. Medbring selv køleskab. Fællesvaskeri mod betaling.Yderligere info: Afdelingen er beliggende på Viggo Stuckenbergs Vej og Otto Benzons Vej. 200 m til daginstitution, 250 m til indkøb, 250 m til skole. Der er dørtelefon. Der hører et tremmerum til hvert lejemål. Derudover er der begrænset mulighed for at leje ekstra kælderrum. Tag er udskiftet omkring 2001.Vinduer er udskiftet ca. 2008. Køkken og bad er udskiftet i 2016.",5740.0,2786.0,,329.0,122.0,,,880.0
43,31,bk-aarhus,4777,https://aarhusbolig.dk/afdelinger/?bolignr=43&selskab=31&afdeling=3&antalrum=1,56.16789651,10.18484116,Afd. 3 Viggo Stuckenbergs Vej,Lejlighed,1,50,15.0,"Husdyr: Det er tilladt at holde højest 2 neutraliserede indekatte.Udgifter ud over husleje: Vand og varme betales a/c over huslejen. El afregnes direkte med leverandør.Stofa: Alt bestilles og betales direkte til Stofa.Særlige vilkår: Der er komfur og emhætte. Medbring selv køleskab. Fællesvaskeri mod betaling.Yderligere info: Afdelingen er beliggende på Viggo Stuckenbergs Vej og Otto Benzons Vej. 200 m til daginstitution, 250 m til indkøb, 250 m til skole. Der er dørtelefon. Der hører et tremmerum til hvert lejemål. Derudover er der begrænset mulighed for at leje ekstra kælderrum. Tag er udskiftet omkring 2001.Vinduer er udskiftet ca. 2008. Køkken og bad er udskiftet i 2016.",7000.0,3378.0,,500.0,139.0,,,760.0
36,31,bk-aarhus,5188,https://aarhusbolig.dk/afdelinger/?bolignr=36&selskab=31&afdeling=3&antalrum=2,56.16789651,10.18484116,Afd. 3 Viggo Stuckenbergs Vej,Lejlighed,2,55,56.0,"Husdyr: Det er tilladt at holde højest 2 neutraliserede indekatte.Udgifter ud over husleje: Vand og varme betales a/c over huslejen. El afregnes direkte med leverandør.Stofa: Alt bestilles og betales direkte til Stofa.Særlige vilkår: Der er komfur og emhætte. Medbring selv køleskab. Fællesvaskeri mod betaling.Yderligere info: Afdelingen er beliggende på Viggo Stuckenbergs Vej og Otto Benzons Vej. 200 m til daginstitution, 250 m til indkøb, 250 m til skole. Der er dørtelefon. Der hører et tremmerum til hvert lejemål. Derudover er der begrænset mulighed for at leje ekstra kælderrum. Tag er udskiftet omkring 2001.Vinduer er udskiftet ca. 2008. Køkken og bad er udskiftet i 2016.",7700.0,3717.0,,558.0,153.0,,,760.0
236,31,bk-aarhus,5774,https://aarhusbolig.dk/afdelinger/?bolignr=236&selskab=31&afdeling=3&antalrum=2,56.16789651,10.18484116,Afd. 3 Viggo Stuckenbergs Vej,Lejlighed,2,63,56.0,"Husdyr: Det er tilladt at holde højest 2 neutraliserede indekatte.Udgifter ud over husleje: Vand og varme betales a/c over huslejen. El afregnes direkte med leverandør.Stofa: Alt bestilles og betales direkte til Stofa.Særlige vilkår: Der er komfur og emhætte. Medbring selv køleskab. Fællesvaskeri mod betaling.Yderligere info: Afdelingen er beliggende på Viggo Stuckenbergs Vej og Otto Benzons Vej. 200 m til daginstitution, 250 m til indkøb, 250 m til skole. Der er dørtelefon. Der hører et tremmerum til hvert lejemål. Derudover er der begrænset mulighed for at leje ekstra kælderrum. Tag er udskiftet omkring 2001.Vinduer er udskiftet ca. 2008. Køkken og bad er udskiftet i 2016.",8820.0,4253.0,,455.0,186.0,,,880.0
53,31,bk-aarhus,6583,https://aarhusbolig.dk/afdelinger/?bolignr=53&selskab=31&afdeling=3&antalrum=3,56.16789651,10.18484116,Afd. 3 Viggo Stuckenbergs Vej,Lejlighed,3,73,33.0,"Husdyr: Det er tilladt at holde højest 2 neutraliserede indekatte.Udgifter ud over husleje: Vand og varme betales a/c over huslejen. El afregnes direkte med leverandør.Stofa: Alt bestilles og betales direkte til Stofa.Særlige vilkår: Der er komfur og emhætte. Medbring selv køleskab. Fællesvaskeri mod betaling.Yderligere info: Afdelingen er beliggende på Viggo Stuckenbergs Vej og Otto Benzons Vej. 200 m til daginstitution, 250 m til indkøb, 250 m til skole. Der er dørtelefon. Der hører et tremmerum til hvert lejemål. Derudover er der begrænset mulighed for at leje ekstra kælderrum. Tag er udskiftet omkring 2001.Vinduer er udskiftet ca. 2008. Køkken og bad er udskiftet i 2016.",10220.0,5016.0,,606.0,201.0,,,760.0
