url,address,type,rooms,size_m2,price,listings,text,deposit,rent,electricity,heat,water,tv_internet,b-ordning,other
https://aarhusbolig.dk/afdelinger/?bolignr=456&selskab=126&afdeling=107&antalrum=1,Afd. 107 Birkeparken,Lejlighed,1,42,3585,3.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",8400.0,2994.0,173.0,293.0,125.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=400&selskab=126&afdeling=107&antalrum=2,Afd. 107 Birkeparken,Lejlighed,2,50,4103,10.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",10000.0,3393.0,185.0,400.0,125.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=419&selskab=126&afdeling=107&antalrum=2,Afd. 107 Birkeparken,Lejlighed,2,64,5159,10.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",12800.0,4432.0,212.0,390.0,125.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=451&selskab=126&afdeling=107&antalrum=3,Afd. 107 Birkeparken,Lejlighed,3,76,6201,64.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",15200.0,5248.0,233.0,520.0,200.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=475&selskab=126&afdeling=107&antalrum=3,Afd. 107 Birkeparken,Lejlighed,3,80,6925,64.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",16000.0,5875.0,300.0,500.0,250.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=470&selskab=126&afdeling=107&antalrum=4,Afd. 107 Birkeparken,Lejlighed,4,89,7198,10.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",17800.0,6123.0,253.0,572.0,250.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=485&selskab=126&afdeling=107&antalrum=4,Afd. 107 Birkeparken,Lejlighed,4,91,7988,10.0,"Husdyr: 2 stk. indekatte.Udgifter ud over husleje: Antenne (Stofa) afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Garderobeskabe skal lejer selv medbringe.Yderligere info: Afdelingens 4-etages gulstens boligblokke fremtræder meget indbydende med de skråvendte altaner vinkelret på Silkeborgvej i det indre Åbyhøj. For få år siden er badeværelserne blevet renoveret og moderniseret, og der foretages løbende køkkenmoderniseringer. Der er grønne arealer med legepladser,  cykelrum, dørkaldeanlæg, garageanlæg, gæsteværelser og selskabslokale. Et godt boligmiljø til en meget rimelig husleje.Trappevask foretages af rengøringsfirma. Fællesantenne (STOFA).",18200.0,6584.0,357.0,672.0,375.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=505&selskab=126&afdeling=108&antalrum=1,Afd. 108 Lindeparken,Lejlighed,1,33,3035,18.0,"Husdyr: Det er tilladt at holde 1 stk. indekat.Udgifter ud over husleje: Antenne for familieboligerne er Stofa som afregnes delvis med leverandør og  for ungdomsboligerne er det AL2net.Særlige vilkår: Der er fællesvaskeri i afdelingen.Yderligere info: Der er godkendt en helhedsplan i afdelingen, der pga. gennemgribende renovering vil medføre midlertidig genhusning og en huslejestigning på 136 kr. pr. m2. Der forventes opstart sommeren 2022.Afdelingen er bygget i 3 etages boligblokke i gule sten og med skråvendte altaner, som vender mod solen. Fra nogle af de øverste lejligheder er der meget fin udsigt mod sydvest over Brabrand sø. Der er porttelefonanlæg til ungdomsboligerne, cykelrum, garageanlæg, gæsteværelser og legeplads. Afdelingen er et attraktivt boligområde.Der er påbegyndt individuel modernisering af køkkener. Lejlighederne har en rimelig størrelse i forhold til husleje. Fællesantenne(STOFA)Ungdomsboligerne har AL2net.",6600.0,2532.0,150.0,263.0,90.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=507&selskab=126&afdeling=108&antalrum=2,Afd. 108 Lindeparken,Lejlighed,2,61,5156,34.0,"Husdyr: Det er tilladt at holde 1 stk. indekat.Udgifter ud over husleje: Antenne for familieboligerne er Stofa som afregnes delvis med leverandør og  for ungdomsboligerne er det AL2net.Særlige vilkår: Der er fællesvaskeri i afdelingen.Yderligere info: Der er godkendt en helhedsplan i afdelingen, der pga. gennemgribende renovering vil medføre midlertidig genhusning og en huslejestigning på 136 kr. pr. m2. Der forventes opstart sommeren 2022.Afdelingen er bygget i 3 etages boligblokke i gule sten og med skråvendte altaner, som vender mod solen. Fra nogle af de øverste lejligheder er der meget fin udsigt mod sydvest over Brabrand sø. Der er porttelefonanlæg til ungdomsboligerne, cykelrum, garageanlæg, gæsteværelser og legeplads. Afdelingen er et attraktivt boligområde.Der er påbegyndt individuel modernisering af køkkener. Lejlighederne har en rimelig størrelse i forhold til husleje. Fællesantenne(STOFA)Ungdomsboligerne har AL2net.",12200.0,4447.0,155.0,394.0,160.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=501&selskab=126&afdeling=108&antalrum=3,Afd. 108 Lindeparken,Lejlighed,3,76,6578,23.0,"Husdyr: Det er tilladt at holde 1 stk. indekat.Udgifter ud over husleje: Antenne for familieboligerne er Stofa som afregnes delvis med leverandør og  for ungdomsboligerne er det AL2net.Særlige vilkår: Der er fællesvaskeri i afdelingen.Yderligere info: Der er godkendt en helhedsplan i afdelingen, der pga. gennemgribende renovering vil medføre midlertidig genhusning og en huslejestigning på 136 kr. pr. m2. Der forventes opstart sommeren 2022.Afdelingen er bygget i 3 etages boligblokke i gule sten og med skråvendte altaner, som vender mod solen. Fra nogle af de øverste lejligheder er der meget fin udsigt mod sydvest over Brabrand sø. Der er porttelefonanlæg til ungdomsboligerne, cykelrum, garageanlæg, gæsteværelser og legeplads. Afdelingen er et attraktivt boligområde.Der er påbegyndt individuel modernisering af køkkener. Lejlighederne har en rimelig størrelse i forhold til husleje. Fællesantenne(STOFA)Ungdomsboligerne har AL2net.",15200.0,5496.0,300.0,482.0,300.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=562&selskab=126&afdeling=108&antalrum=4,Afd. 108 Lindeparken,Lejlighed,4,91,7424,6.0,"Husdyr: Det er tilladt at holde 1 stk. indekat.Udgifter ud over husleje: Antenne for familieboligerne er Stofa som afregnes delvis med leverandør og  for ungdomsboligerne er det AL2net.Særlige vilkår: Der er fællesvaskeri i afdelingen.Yderligere info: Der er godkendt en helhedsplan i afdelingen, der pga. gennemgribende renovering vil medføre midlertidig genhusning og en huslejestigning på 136 kr. pr. m2. Der forventes opstart sommeren 2022.Afdelingen er bygget i 3 etages boligblokke i gule sten og med skråvendte altaner, som vender mod solen. Fra nogle af de øverste lejligheder er der meget fin udsigt mod sydvest over Brabrand sø. Der er porttelefonanlæg til ungdomsboligerne, cykelrum, garageanlæg, gæsteværelser og legeplads. Afdelingen er et attraktivt boligområde.Der er påbegyndt individuel modernisering af køkkener. Lejlighederne har en rimelig størrelse i forhold til husleje. Fællesantenne(STOFA)Ungdomsboligerne har AL2net.",18200.0,6381.0,230.0,563.0,250.0,,,
https://aarhusbolig.dk/afdelinger/?bolignr=613&selskab=126&afdeling=109&antalrum=1,Afd. 109 Digtergangen,Lejlighed,1,37,2733,6.0,"Husdyr: Husdyr er ikke tilladt.Udgifter ud over husleje: Antenne (Stofa) og el afregnes med leverandør.Særlige vilkår: Der er fællesvaskeri. Lejer skal selv medbringe garderobeskabe.Yderligere info: Der er godkendt en helhedsplan i afdelingen, der pga. gennemgribende renovering vil medføre midlertidig genhusning og en huslejestigning på 218 kr. pr. m2. Der forventes opstart sommeren 2022.Afdelingen er bygget i 3 etages boligblokke i gule sten og med skråvendte altaner, som vender mod solen. Fra nogle af de øverste lejligheder er der meget fin udsigt mod sydvest over Brabrand sø. Der er installeret porttelefonanlæg og der er påbegyndt individuel modernisering af køkkener. Afdelingen er et attraktivt  boligområde. I afdelingen er der cykelrum, garageanlæg, gæsteværelser, selskabslokale og legeplads. ",7400.0,2423.0,,310.0,,,,
